epoch,lambda_h2_epoch,lambda_h2_step,lr-Adam,step,train_h2_h_epoch,train_h2_h_step,train_h2_r_epoch,train_h2_r_step,train_loss_epoch,train_loss_step,train_recon_loss_epoch,train_recon_loss_step,val_h2_total_gcta,val_h2_total_proxy,val_loss,val_recon_loss
11,,0.019999999552965164,,2539,,52.658851623535156,,-28.096281051635742,,-1.362766981124878,,0.2523355484008789,,,,
11,,0.019999999552965164,,2559,,52.642112731933594,,-28.112314224243164,,-1.3635125160217285,,0.2515760660171509,,,,
11,,0.019999999552965164,,2579,,52.676597595214844,,-28.131778717041016,,-1.370906114578247,,0.24526125192642212,,,,
11,,0.019999999552965164,,2599,,52.60066604614258,,-28.11574363708496,,-1.3604129552841187,,0.2539151906967163,,,,
11,,0.019999999552965164,,2619,,56.00864028930664,,-31.964876174926758,,-1.5068186521530151,,0.25265154242515564,,,,
11,,0.019999999552965164,,2639,,55.981712341308594,,-31.958925247192383,,-1.5008647441864014,,0.25794804096221924,,,,
11,,0.019999999552965164,,2659,,56.00642013549805,,-31.9714298248291,,-1.5159473419189453,,0.24360960721969604,,,,
11,,,,2675,,,,,,,,,31.735746383666992,14.324271202087402,0.03676968440413475,0.32325512170791626
11,0.020000023767352104,,,2675,53.782108306884766,,-29.398387908935547,,-1.410235047340393,,0.25337502360343933,,,,,
,,,0.0005248074602497723,2676,,,,,,,,,,,,
12,,0.019999999552965164,,2679,,56.019832611083984,,-32.002689361572266,,-1.5118943452835083,,0.24855603277683258,,,,
12,,0.019999999552965164,,2699,,56.053409576416016,,-31.9586238861084,,-1.5180121660232544,,0.24222835898399353,,,,
12,,0.019999999552965164,,2719,,56.165740966796875,,-31.97349739074707,,-1.5309685468673706,,0.2318161129951477,,,,
12,,0.019999999552965164,,2739,,55.99593734741211,,-31.971933364868164,,-1.5126752853393555,,0.24668197333812714,,,,
12,,0.019999999552965164,,2759,,56.026084899902344,,-31.946372985839844,,-1.5235462188720703,,0.23590286076068878,,,,
12,,0.019999999552965164,,2779,,56.04423522949219,,-32.04892349243164,,-1.5193233489990234,,0.2425396889448166,,,,
12,,0.019999999552965164,,2799,,56.06802749633789,,-31.968809127807617,,-1.5233023166656494,,0.23743443191051483,,,,
12,,0.019999999552965164,,2819,,60.11526107788086,,-34.91535186767578,,-1.6567726135253906,,0.24383966624736786,,,,
12,,0.019999999552965164,,2839,,60.10406494140625,,-34.934207916259766,,-1.6449172496795654,,0.2558481991291046,,,,
12,,0.019999999552965164,,2859,,60.03584671020508,,-34.935874938964844,,-1.6521990299224854,,0.24723535776138306,,,,
12,,0.019999999552965164,,2879,,60.066707611083984,,-34.898109436035156,,-1.6493347883224487,,0.2499614655971527,,,,
12,,,,2898,,,,,,,,,31.36131477355957,14.396772384643555,0.011892869137227535,0.29982829093933105
12,0.020000023767352104,,,2898,57.80093002319336,,-33.28546142578125,,-1.575584053993225,,0.24614356458187103,,,,,
,,,0.0005248074602497723,2899,,,,,,,,,,,,
13,,0.019999999552965164,,2899,,60.06705856323242,,-35.01780319213867,,-1.6678736209869385,,0.23382361233234406,,,,
13,,0.019999999552965164,,2919,,60.079559326171875,,-34.95054626464844,,-1.6581432819366455,,0.24245883524417877,,,,
